Year & Month,Water Temperature,pH,Ammonia,Nitrate,Phosphate,Dissolved Oxygen
2013-01,N/A,N/A,N/A,N/A,N/A,N/A
2013-02,26.92,8.77,0.53,0.066,N/A,6.51
2013-03,29.5,8.5,0.01,0.003,N/A,7.9
2013-04,28.17,8.17,0.01,0,N/A,6.79
2013-05,31,8.5,N/A,0.026,N/A,7.8
2013-06,31,8.6,0.08,0.02,N/A,3.31
2013-07,30,8.5,N/A,N/A,N/A,4.2
2013-08,30,8.3,0.1,0.07,N/A,6.1
2013-09,30,8.2,0.283,0.01,N/A,2
2013-10,29.3,8.3,N/A,N/A,N/A,8.5
2013-11,26,8.3,N/A,N/A,N/A,3.1
2013-12,27.6,8.2,N/A,N/A,N/A,6.8
2014-01,25.5,8,0.35,N/A,N/A,2.3
2014-02,26.5,8.13,0.24,0.011,N/A,10.09
2014-03,25.5,8.4,0.19,0.011,N/A,7.4
2014-04,28,8,0.25,0.014,N/A,6.5
2014-05,28.83,7.9,0.33,0.01,N/A,7.4
2014-06,27.5,8.75,0.38,0.01,N/A,8
2014-07,27.83,8.75,0.45,0.003,N/A,7.4
2014-08,29.33,8.5,0.3,N/A,N/A,7.7
2014-09,28.7,7.92,0.45,N/A,N/A,7.6
2014-10,29.53,8.5,0.28,N/A,N/A,6.9
2014-11,27.3,8,0.42,0.1,N/A,5
2014-12,N/A,N/A,N/A,N/A,N/A,N/A
2015-01,27.03,7.75,0.42,0.05,N/A,6.7
2015-02,26.3,8,0.26,0.08,N/A,8
2015-03,26.07,7.75,0.13,0.23,N/A,5
2015-04,27.13,8.5,0.34,0.6,N/A,6
2015-05,29.73,8.5,0.27,0.3,N/A,7
2015-06,29.13,8.75,0.24,0.02,N/A,5.76
2015-07,26.13,8.75,0.003,0,N/A,4.96
2015-08,27.87,8.75,0.44,0,N/A,5.22
2015-09,28.33,8.74,0.14,0,N/A,5
2015-10,27.66,8.7,0.53,0.06,N/A,5.94
2015-11,28.46,7.18,0.44,0.05,N/A,5.74
2015-12,27.47,8.5,0.33,0.33,N/A,5.9
2016-01,26.1,8,0.35,0.35,N/A,3.6
2016-02,25.73,7.75,0.38,0.1,N/A,4.21
2016-03,26.93,8.25,0.39,0.11,N/A,3.41
2016-04,28.06,8.5,0.39,0.09,N/A,7.57
2016-05,28.83,8.73,0.28,N/A,N/A,5.42
2016-06,28.23,8.43,0.18,0.02,N/A,5.08
2016-07,29.46,8.63,0.49,N/A,N/A,8.29
2016-08,27.76,8.78,0.3,0.003,N/A,6.51
2016-09,28.26,8.89,N/A,0,N/A,7.02
2016-10,28.46,8.55,0.41,0.07,N/A,3.48
2016-11,27.13,7.57,0.5,0.03,N/A,4.52
2016-12,27.46,7.49,0.79,0.03,N/A,7.49
2017-01,27.17,6.96,0.27,0.06,N/A,5.95
2017-02,26.3,8,0.32,0.09,N/A,5.4
2017-03,27.16,7.92,0.21,0.21,N/A,3.16
2017-04,28.3,8.25,0.18,0.18,N/A,7.21
2017-05,29.03,7.92,0.17,0.1,N/A,6.41
2017-06,29.23,8.08,1.18,0.15,N/A,6.31
2017-07,28.6,8.12,0.54,0.11,N/A,2.14
2017-08,28.37,8.71,0.57,0.11,N/A,4.7
2017-09,29.1,8.11,N/A,0.27,N/A,4.7
2017-10,28.87,8.46,0.05,0.001,N/A,3.54
2017-11,28.07,8.19,0.54,0.03,N/A,4.55
2017-12,28.07,8.17,1.02,0.03,N/A,5.71
2018-01,27.43,8.05,0.66,0.08,N/A,4.95
2018-02,26.23,7.8,0.53,0.11,2.47,4.2
2018-03,26.87,8.32,0.35,0.09,2.52,5.47
2018-04,27.93,8.41,0,0.07,2.38,4.55
2018-05,28.1,8.31,0.08,N/A,2.41,6.37
2018-06,29.16,7.99,0.49,0.07,2.63,4.38
2018-07,28.4,8.24,0.37,0.03,2.55,5.08
2018-08,28.63,8.45,0.51,0.06,2.6,4.44
2018-09,28.23,8.28,0.46,0.13,2.51,7.22
2018-10,28.53,7.67,0.56,0.07,2.38,7.22
2018-11,27.9,7.58,0.5,0.08,2.6,5.13
2018-12,27.4,7.67,0.17,0.11,2.6,3.64
2019-01,26.5,8.15,0.29,0.215,2.46,3.42
2019-02,26.83,7.75,0.01,0.215,2.31,2.94
2019-03,26.76,7.83,0.13,0.14,2.37,4.47
2019-04,27.93,8,0.09,0.24,2.77,5.83
2019-05,28.93,7.92,0.12,0.21,2.61,3.56
2019-06,28.33,8.17,0.33,0.11,2.64,3.9
2019-07,29.33,8.08,0.27,0.07,2.7,4.33
2019-08,28.17,8.08,0.19,0.07,2.53,4.6
2019-09,28.23,8.08,0.3,0.01,2.47,3.1
2019-10,28.5,8,0.29,2.005,2.51,3.63
2019-11,28.63,8.08,0.2,0.015,2.41,4.17
2019-12,28.33,7.75,0.34,0.125,2.63,3.35
2020-01,N/A,N/A,N/A,N/A,N/A,N/A
2020-02,26.53,7.87,0.24,0.08,2.56,3.78
2020-03,27.83,7.63,0.08,0.375,2.52,6.15
2020-04,28.5,8.86,0.28,0.13,2.58,5.72
2020-05,29.63,8,0.15,0.17,2.58,4.88
2020-06,28.77,7.83,0.07,0.06,2.56,4.07
2020-07,29.77,8.14,0.21,0.07,3,1.95
2020-08,28.67,7.75,0.33,0.04,N/A,2.2
2020-09,29.63,8,0.13,0.105,2.55,5.76
2020-10,29.57,8.25,0.19,0.04,2.89,2.57
2020-11,28.3,7.92,0.32,0.07,2.68,5.36
2020-12,28.13,7.58,0.24,0.07,2.74,4.67
2021-01,26.8,7.75,0.19,N/A,2.78,3.89
2021-02,26.5,7.83,0.21,N/A,2.57,5.08
2021-03,28,7.83,0.2,N/A,2.55,5.45
2021-04,28.5,8.08,0.27,N/A,2.38,7.56
2021-05,28.63,8,0,N/A,N/A,6.63
2021-06,29.43,8,0.14,N/A,2.48,6.5
2021-07,28.83,8,0.15,0.1,2.66,4.7
2021-08,28.63,8.42,0.32,0.06,2.52,4.88
2021-09,28.73,8.17,0.35,0.08,2.46,4.4
2021-10,28,8.18,N/A,0.19,2.49,6.05
2021-11,27.7,7.73,0.19,0.16,N/A,4.95
2021-12,27,8.15,0.15,N/A,N/A,4.96
2022-01,26.87,7.79,0.33,0.17,2.86,3.36
2022-02,26.83,8.05,0.13,0.19,2.71,5.42
2022-03,27.87,8.15,0.17,0.13,2.64,5.29
2022-04,27.87,7.73,N/A,N/A,2.49,6.41
2022-05,N/A,N/A,N/A,N/A,N/A,N/A
2022-06,30.07,8.28,0.26,0.1,0.18,5.85
2022-07,30.1,8.34,0.18,0.06,2.57,1.19
2022-08,29.67,8.54,0.25,0.16,2.597,1.74
2022-09,29.47,8.16,0.52,0.13,2.46,5.32
2022-10,29.53,8.19,0.62,0.09,2.41,5.46
2022-11,28.17,7.88,0.62,0.096,2.55,4.9
2022-12,28.2,7.97,0.72,0.15,2.15,4.99
2023-01,26.85,7.84,0.82,0.11,2.75,2.04
2023-02,32.1,8.19,0.68,0.25,2.77,6.71
2023-03,26.65,8.15,0.795,0.235,2.72,5.18
2023-04,28.85,8.39,0.78,0.185,2.74,6.75
2023-05,29.55,8.31,0.9,0.3,2.62,5.14
2023-06,29.6,8.4,0.105,0.1,2.62,5.9
2023-07,29.55,8.32,0.19,0.1,2.7,5.88
2023-08,30.25,8.61,0.15,0.195,2.42,7.56
2023-09,30.6,8.5,0.19,0.095,2.47,6.47
2023-10,28.2,8.19,0.22,0.07,N/A,4.8
2023-11,26.5,8.01,0.42,0.08,N/A,4.95
2023-12,26.97,8.03,0.29,0.18,N/A,N/A
